,Date,Open,High,Low,Close,Adj Close,Volume,O_Score_Ret,O_Score_3m_avg,Actual_Ret_Score,Score,Diff
0,02-01-2019,95.949997,99.779999,95.940002,99.309998,97.76194,15670900,0.5,0.510933426,0,1,1
1,03-01-2019,98.639999,98.889999,96.690002,97.110001,96.372574,16282700,0.528035457,0.515372934,1,1,0
2,04-01-2019,99.110001,100.93,98.279999,100.690002,99.925385,16935200,0.504764822,0.510933426,1,1,0
3,07-01-2019,100.43,101.470001,99.709999,100.760002,99.994858,15430700,0.513318525,0.515372934,1,1,0
4,08-01-2019,101.629997,101.82,99.550003,100.57,99.806297,13578800,0.511948591,0.510010646,1,0,1
5,09-01-2019,100.809998,101.489998,99.93,100.400002,99.637589,14230300,0.491931526,0.505732881,0,0,0
6,10-01-2019,100.019997,100.730003,99.269997,100.389999,99.627663,14376100,0.492163466,0.498681194,0,0,0
7,11-01-2019,99.889999,100.169998,98.949997,99.910004,99.151314,15439900,0.49870028,0.494265091,0,1,1
8,14-01-2019,98.870003,101.360001,98.660004,100.940002,100.173492,21258500,0.489788808,0.493550851,0,1,1
9,15-01-2019,98.889999,102.470001,98.599998,101.68,100.907867,26504900,0.500202245,0.496230444,1,1,0
10,16-01-2019,102.25,103.449997,101.800003,102.5,101.721642,18533000,0.533977157,0.507989403,1,1,0
11,17-01-2019,102.110001,103.5,101.919998,102.919998,102.138451,14247600,0.498630817,0.51093674,0,1,1
12,18-01-2019,103.769997,104.900002,102.830002,104.589996,103.795769,16428700,0.516256938,0.516288304,1,0,1
13,22-01-2019,103.080002,103.589996,102.129997,102.940002,102.158302,17083700,0.493350727,0.502746161,0,0,0
14,23-01-2019,103.440002,103.699997,101.970001,102.68,101.900276,12146700,0.503492433,0.5043667,1,0,1
15,24-01-2019,102.129997,103.089996,101.940002,102.739998,101.959816,11296800,0.487335605,0.494726255,0,1,1
16,25-01-2019,103.510002,104.309998,102.739998,103.389999,102.604881,14369400,0.51351224,0.501446759,1,1,0
17,28-01-2019,102.889999,104.239998,102.589996,103.879997,103.091156,12283100,0.494010212,0.498286019,0,1,1
18,29-01-2019,103.879997,105.110001,103.730003,104.169998,103.37896,9743300,0.509621907,0.505714786,1,1,0
19,30-01-2019,104.139999,105.239998,103.779999,104.410004,103.617142,12526300,0.502502907,0.502045009,1,0,1
20,31-01-2019,103.410004,103.800003,102.730003,103.5,102.71405,17520600,0.492990253,0.501705023,0,1,1
21,01-02-2019,104,104.849998,103.519997,103.879997,103.091156,13000800,0.505705405,0.500399522,1,1,0
22,04-02-2019,103.790001,104.25,103.010002,104.25,103.458351,9871500,0.497980779,0.498892146,0,0,0
23,05-02-2019,104.519997,104.550003,103.290001,103.790001,103.001846,12763000,0.507033394,0.503573193,1,0,1
24,06-02-2019,103.709999,104.620003,103.470001,103.739998,102.952225,8745000,0.492250306,0.49908816,0,0,0
25,07-02-2019,103.25,103.5,101.440002,102.379997,101.602547,13177500,0.495564565,0.498282755,0,0,0
26,08-02-2019,102.080002,102.339996,100.059998,101.360001,100.590302,12892600,0.4886683,0.492161057,0,0,0
27,11-02-2019,101.760002,102.010002,100.769997,100.879997,100.113937,10978500,0.496865204,0.493699356,0,1,1
28,12-02-2019,101.949997,102.919998,101.889999,102.599998,101.820877,12852300,0.501867089,0.495800198,1,1,0
29,13-02-2019,102.900002,103.849998,102.900002,103.089996,102.307159,10754100,0.509318343,0.502683545,1,1,0
30,14-02-2019,102.470001,103.099998,101.349998,102.419998,101.642242,11518500,0.495821176,0.502335536,0,1,1
31,15-02-2019,103.900002,105.699997,103.660004,105.550003,104.748482,14716900,0.513955314,0.506364944,1,1,0
32,19-02-2019,104.910004,105.370003,103.809998,105.18,104.381287,12764900,0.509720905,0.506499131,1,1,0
33,20-02-2019,105.209999,105.800003,104.879997,105.690002,104.887421,10030300,0.502859546,0.508845255,1,1,0
34,21-02-2019,105.449997,105.989998,104.959999,105.470001,104.66909,8400100,0.502281133,0.504953861,1,0,1
35,22-02-2019,105.699997,106.089996,104.779999,105,104.20266,10647300,0.502370792,0.502503824,1,0,1
36,25-02-2019,105.75,107.269997,105.690002,106.099998,105.294304,11230700,0.500473065,0.50170833,1,0,1
37,26-02-2019,104.5,105.470001,103.940002,105.290001,104.490456,15465400,0.488179669,0.497007842,0,0,0
38,27-02-2019,105.18,105.379997,104.510002,105.160004,104.361443,9968800,0.506507177,0.498386637,1,1,0
39,28-02-2019,105.010002,105.209999,104.18,104.360001,103.56752,15156900,0.498383742,0.497690196,0,0,0
40,01-03-2019,105.099998,105.910004,104.199997,104.43,103.636986,13813300,0.500857023,0.501915981,1,0,1
41,04-03-2019,104.919998,105.919998,103.269997,104.190002,103.398811,12466300,0.498287345,0.499176037,0,0,0
42,05-03-2019,104.129997,104.550003,103.260002,104.110001,103.319412,10856600,0.492470444,0.497204937,0,0,0
43,06-03-2019,103.860001,104.57,103.550003,103.720001,102.932381,9070800,0.497407126,0.496054972,0,0,0
44,07-03-2019,103.25,103.470001,102.160004,102.970001,102.188072,12705000,0.494126699,0.49466809,0,1,1
45,08-03-2019,101.989998,103.230003,101.989998,103.010002,102.227768,10582400,0.487796591,0.493110139,0,1,1
46,11-03-2019,103.980003,104.550003,103.660004,104.349998,103.557594,9763200,0.519511766,0.500478352,1,1,0
47,12-03-2019,104.589996,104.790001,103.75,104.040001,103.249947,10219100,0.505866445,0.504391601,1,1,0
48,13-03-2019,104.190002,104.980003,103.949997,104.389999,103.59729,13022200,0.4961756,0.507184604,0,1,1
49,14-03-2019,104.5,105.870003,104.459999,105.339996,104.54007,10926500,0.502975314,0.501672453,1,1,0
50,15-03-2019,105.410004,106.800003,105.230003,106.550003,105.740891,24811700,0.508708172,0.502619695,1,1,0
51,18-03-2019,106.550003,107.790001,106.5,107.190002,106.37603,12935500,0.510814903,0.507499463,1,0,1
52,19-03-2019,108.199997,108.400002,106.550003,106.800003,105.988991,12889300,0.515485631,0.511669569,1,0,1
53,20-03-2019,106.43,106.650002,104.410004,104.519997,103.726295,14920700,0.483641432,0.503313989,0,0,0
54,21-03-2019,103.489998,103.489998,102.279999,102.870003,102.088837,19751000,0.472376191,0.490501085,0,0,0
55,22-03-2019,101.82,102.32,99.519997,99.760002,99.002449,31115200,0.483863194,0.479960272,0,0,0
56,25-03-2019,99.589996,100.57,98.089996,98.93,98.178749,21032300,0.478098566,0.47811265,0,0,0
57,26-03-2019,99.82,100.400002,98.82,99.919998,99.161232,15987100,0.502309509,0.488090423,1,1,0
58,27-03-2019,99.879997,100.449997,99.080002,99.580002,98.823814,12753200,0.500601052,0.493669709,1,1,0
59,28-03-2019,100,100.800003,99.739998,100.709999,99.945236,12454100,0.501201472,0.501370678,1,1,0
60,29-03-2019,101.540001,101.989998,100.589996,101.230003,100.461288,14523400,0.51540001,0.505734178,1,1,0
61,01-04-2019,102.150002,104.68,102.120003,104.639999,103.84539,17499300,0.506007495,0.507536325,1,1,0
62,02-04-2019,104.599998,105.440002,104.330002,105.139999,104.341591,10295400,0.523984297,0.515130601,1,1,0
63,03-04-2019,105.809998,106.360001,104.790001,105.349998,104.549995,11499200,0.511567878,0.513853223,1,1,0
64,04-04-2019,104.550003,105.730003,104.449997,105.559998,105.559998,11952100,0.48809191,0.507881362,0,0,0
65,05-04-2019,105.800003,106.110001,104.989998,105.309998,105.309998,9933700,0.511956002,0.50387193,1,0,1
66,08-04-2019,105.110001,105.650002,104.910004,105.650002,105.650002,8056300,0.493478242,0.497842051,0,0,0
67,09-04-2019,105.080002,105.199997,104.25,104.870003,104.870003,9092200,0.499714594,0.501716279,0,1,1
68,10-04-2019,105.129997,105.720001,104.470001,105.339996,105.339996,10882300,0.50047578,0.497889539,1,1,0
69,11-04-2019,105.709999,106.730003,105.559998,106.230003,106.230003,11183800,0.505516998,0.501902458,1,1,0
70,12-04-2019,109.440002,111.849998,108.879997,111.209999,111.209999,25834100,0.535285243,0.51375934,1,1,0
71,15-04-2019,110.919998,111,109.120003,109.940002,109.940002,15163800,0.513523355,0.518108532,1,1,0
72,16-04-2019,109.900002,111.389999,109.860001,111.099998,111.099998,11583200,0.490804219,0.513204272,0,1,1
73,17-04-2019,111.699997,114.660004,111.010002,114.300003,114.300003,17791900,0.51637848,0.506902018,1,1,0
74,18-04-2019,114.529999,114.949997,113.330002,113.459999,113.459999,12501900,0.525335739,0.510839479,1,1,0
75,22-04-2019,112.830002,113.93,112.660004,113.599998,113.599998,7975900,0.485156754,0.508956991,0,0,0
76,23-04-2019,113,114.370003,112.849998,113.739998,113.739998,9193100,0.501506674,0.503999722,1,1,0
77,24-04-2019,113.260002,114.150002,112.809998,113.550003,113.550003,9245700,0.502300903,0.496321443,1,1,0
78,25-04-2019,113.010002,114.150002,112.5,113.610001,113.610001,9311800,0.497792689,0.500533422,0,1,1
79,26-04-2019,113.949997,114.580002,113.599998,114.470001,114.470001,7889300,0.508317804,0.502803799,1,1,0
80,29-04-2019,114.599998,117.160004,114.449997,116.120003,116.120003,14242200,0.505704265,0.503938253,1,1,0
81,30-04-2019,116.43,116.720001,115.260002,116.050003,116.050003,11389100,0.515968604,0.509996891,1,1,0
82,01-05-2019,115.720001,117,115.110001,115.160004,115.160004,10412900,0.493901924,0.505191598,0,0,0
83,02-05-2019,115.169998,115.779999,114.580002,115.410004,115.410004,8613300,0.495247122,0.501705883,0,0,0
84,03-05-2019,116,116.68,115.669998,116.120003,116.120003,8185400,0.507206755,0.498785267,1,0,1
85,06-05-2019,114.18,115.470001,113.720001,115.089996,115.089996,9387000,0.484310345,0.495588074,0,0,0
86,07-05-2019,114.029999,114.029999,112.290001,113.209999,113.209999,15017700,0.498686276,0.496734459,0,0,0
87,08-05-2019,112.660004,113.669998,112.459999,112.610001,112.610001,9575800,0.487985662,0.490327427,0,0,0
88,09-05-2019,111.139999,112.739998,110.580002,112.519997,112.519997,12205900,0.486508033,0.49105999,0,0,0
89,10-05-2019,111.75,112.839996,110.540001,112.510002,112.510002,13189000,0.505488582,0.493327426,1,0,1
90,13-05-2019,110.080002,110.449997,108.980003,109.449997,109.449997,13783700,0.485055946,0.492350854,0,0,0
91,14-05-2019,109.550003,111.720001,109.5,110.32,110.32,10503600,0.495185329,0.495243286,0,1,1
92,15-05-2019,109.209999,110.900002,108.610001,109.900002,109.900002,10142000,0.496896358,0.492379211,0,1,1
93,16-05-2019,110.620003,112.169998,110.589996,111.309998,111.309998,9672700,0.512910942,0.50166421,1,1,0
94,17-05-2019,110,111.75,109.830002,110.769997,110.769997,9570100,0.4943952,0.501400833,0,1,1
95,20-05-2019,110.580002,111.809998,110.370003,111.349998,111.349998,8518200,0.505272745,0.504192963,1,1,0
96,21-05-2019,111.440002,111.919998,111.220001,111.730003,111.730003,7967900,0.507777175,0.502481707,1,0,1
97,22-05-2019,111.400002,111.790001,110.75,110.82,110.82,7918900,0.499641062,0.504230328,0,0,0
98,23-05-2019,109.639999,109.790001,107.5,108.639999,108.639999,14558000,0.484201051,0.497206429,0,0,0
99,24-05-2019,109.519997,109.959999,109.190002,109.709999,109.709999,8537300,0.498905491,0.494249201,0,0,0
100,28-05-2019,109.199997,109.830002,108.440002,108.519997,108.519997,11665500,0.497078159,0.4933949,0,0,0
101,29-05-2019,107.449997,108.400002,107.059998,108.220001,108.220001,9966400,0.483974359,0.493319336,0,0,0
102,30-05-2019,108.650002,109.18,106.540001,107.059998,107.059998,10367800,0.511168032,0.49740685,1,0,1
103,31-05-2019,105.559998,106.589996,104.839996,105.959999,105.959999,10952800,0.471560019,0.488900803,0,1,1
104,03-06-2019,105.800003,106.860001,105.300003,106.459999,106.459999,11680700,0.502273636,0.495000562,1,1,0
105,04-06-2019,107.849998,109.900002,107.129997,109.739998,109.739998,12858600,0.519376134,0.497736596,1,1,0
106,05-06-2019,109.860001,110.379997,108.639999,110.129997,110.129997,8340500,0.518637024,0.513428931,1,1,0
107,06-06-2019,110.150002,110.870003,108.93,110.370003,110.370003,8726700,0.502639732,0.513550963,1,1,0
108,07-06-2019,109.699997,110.019997,108.959999,109.160004,109.160004,10618900,0.495914617,0.505730458,0,1,1
109,10-06-2019,110.75,111.209999,110.220001,110.339996,110.339996,11380600,0.509571586,0.502708645,1,0,1
110,11-06-2019,110.82,111.57,110.370003,110.68,110.68,9847700,0.500632054,0.502039419,1,0,1
111,12-06-2019,110.699997,110.900002,108.889999,109.269997,109.269997,9670500,0.498917136,0.503040259,0,0,0
112,13-06-2019,109.459999,110.160004,109.050003,109.540001,109.540001,8406900,0.488798572,0.496115921,0,0,0
113,14-06-2019,109.57,110.300003,108.629997,109.82,109.82,9077400,0.501004942,0.496240217,1,1,0
114,17-06-2019,109.699997,110.370003,109.059998,109.220001,109.220001,8128600,0.501186429,0.496996648,1,1,0
115,18-06-2019,109.010002,111.410004,108.980003,110.709999,110.709999,11057300,0.493710164,0.498633845,0,1,1
116,19-06-2019,110.82,111.589996,109.699997,109.910004,109.910004,13126500,0.516603963,0.503833518,1,0,1
117,20-06-2019,110.879997,111.089996,109.029999,110.190002,110.190002,13638000,0.500541391,0.503618506,1,0,1
118,21-06-2019,110.190002,111.669998,109.089996,109.440002,109.440002,27089500,0.493777101,0.503640818,0,0,0
119,24-06-2019,109.279999,109.769997,108.540001,108.660004,108.660004,13039600,0.49174151,0.495353334,0,0,0
